fakeSinglePredictor4,Arizona,California,Colorado,Connecticut,Florida,Georgia,Idaho,Illinois,Indiana,Louisiana,Mississippi,Nebraska,Nevada,New Mexico,New York,North Dakota,Ohio,South Dakota,Texas,Utah,Wisconsin
Arizona,0,0.794887817,0.877557465,0.822331819,0.132114956,0.48446352,0.463936093,0.38021336,0.709199005,0.695492252,0.568640467,0.806381618,0.175577003,0.960377863,0.627188253,0.742740668,0.883725324,0.618027179,0.185134708,0.980950708,0.271642143
California,0.166600952,0,0.418841924,0.009923486,0.112802368,0.263894081,0.460429544,0.602518887,0.57302874,0.366421417,0.900371359,0.495088429,0.60816919,0.864129506,0.575284665,0.569195671,0.885526812,0.198465835,0.879933066,0.267324758,0.420494251
Colorado,0.184864008,0.912415309,0,0.972707715,0.567343617,0.26124042,0.246039206,0.474478269,0.215772332,0.442744604,0.74779017,0.149892196,0.46599033,0.391396889,0.677977776,0.395619289,0.002971816,0.021729729,0.507012167,0.548078213,0.642058529
Connecticut,0.759005829,0.738169022,0.112671929,0,0.031811854,0.200775609,0.74100604,0.648885211,0.482664818,0.588671756,0.937400083,0.409416139,0.271507654,0.228463738,0.575871409,0.187994447,0.656410605,0.568393651,0.649188222,0.313105973,0.983429518
Florida,0.91241466,0.803474811,0.573803947,0.483295267,0,0.476768338,0.852540796,0.494865178,0.991110889,0.247834427,0.180749865,0.325820437,0.970704478,0.219102175,0.239736738,0.069906855,0.778685873,0.415282821,0.57985795,0.926364711,0.79989343
Georgia,0.891461799,0.959877983,0.450744892,0.755958675,0.101866708,0,0.594223258,0.965829278,0.968599609,0.182464716,0.584274818,0.612216211,0.292322888,0.367426806,0.849956467,0.909041412,0.110189239,0.021050446,0.745868502,0.435031245,0.945308149
Idaho,0.582178321,0.20949907,0.544968268,0.437792027,0.788571239,0.550196823,0,0.057710725,0.808165126,0.42173782,0.478042315,0.154219488,0.438387075,0.701358383,0.732837266,0.63058263,0.069573139,0.816232572,0.906715284,0.458157072,0.095801544
Illinois,0.526812461,0.35823152,0.227620044,0.753572385,0.880157754,0.998664632,0.061442601,0,0.179007939,0.17686742,0.061773324,0.944219425,0.479154747,0.955704489,0.168265155,0.007595101,0.808855905,0.734905452,0.129747007,0.26075027,0.110979597
Indiana,0.430239142,0.017580793,0.48993984,0.61099401,0.494140445,0.84925376,0.82881888,0.395870176,0,0.298393189,0.562490586,0.050659522,0.913553073,0.985086593,0.695444542,0.398580523,0.529070119,0.685607258,0.571978916,0.206835799,0.927093196
Louisiana,0.440487511,0.978318463,0.066896267,0.748419438,0.516656126,0.71658166,0.511073605,0.272676317,0.114793703,0,0.789606702,0.316721657,0.009613907,0.944551763,0.618697706,0.871324105,0.968777154,0.720101797,0.037460662,0.203481454,0.778397393
Mississippi,0.969054448,0.375524325,0.760934361,0.342811657,0.818907927,0.832069435,0.874847433,0.425359074,0.361770261,0.802630028,0,0.518366063,0.989924307,0.165884926,0.528226784,0.24440533,0.050788237,0.764193532,0.221358546,0.39285553,0.75625972
Nebraska,0.207681364,0.14844105,0.150132248,0.668867998,0.85043353,0.775719547,0.707699652,0.646848985,0.790119329,0.858153162,0.34628673,0,0.026705681,0.84844765,0.061295754,0.459345491,0.860717367,0.039622299,0.84919988,0.668315726,0.978386919
Nevada,0.769448534,0.278182572,0.4358102,0.125650582,0.257481131,0.334849559,0.934991019,0.022709072,0.670826217,0.628555694,0.120592488,0.038082783,0,0.835802227,0.52934425,0.478137608,0.934779487,0.602541639,0.644128808,0.213409003,0.99812925
New Mexico,0.577140986,0.674770979,0.844458158,0.608801806,0.033265472,0.666854159,0.514615843,0.180519712,0.202026452,0.017139271,0.457894992,0.156962558,0.555817386,0,0.635633044,0.513487717,0.805952173,0.696847225,0.801848406,0.169457301,0.56561077
New York,0.121759745,0.464802805,0.717060103,0.542195769,0.631240646,0.096085393,0.455801334,0.719591523,0.506305552,0.78445407,0.170120182,0.797652161,0.69033806,0.509182377,0,0.456491996,0.84388536,0.264100945,0.565930268,0.913682058,0.306715194
North Dakota,0.667118335,0.619776109,0.052572371,0.534814616,0.864935104,0.750330185,0.376294946,0.148701574,0.487510029,0.824283833,0.234290131,0.139756581,0.732274201,0.235742889,0.505594596,0,0.446418133,0.346267315,0.823725955,0.255413243,0.983187699
Ohio,0.25056042,0.436773205,0.642414843,0.404630835,0.93088383,0.21766881,0.719447495,0.304820812,0.705226015,0.160733648,0.616441208,0.959750226,0.271858935,0.230188531,0.609565939,0.92212297,0,0.540132879,0.370596666,0.768638985,0.591563765
South Dakota,0.495847344,0.864295481,0.984245536,0.063849329,0.723556896,0.73477071,0.686736826,0.475028185,0.908402114,0.284879484,0.449357186,0.04696773,0.192906258,0.263138433,0.024708911,0.184546958,0.323997466,0,0.744653185,0.528881021,0.929395371
Texas,0.232612081,0.920105416,0.538841661,0.51929916,0.888306597,0.556865935,0.435763129,0.935302464,0.546617511,0.001191879,0.565724723,0.262657304,0.820075203,0.586027565,0.625780267,0.61591096,0.868601824,0.524216276,0,0.868973384,0.046385136
Utah,0.872019226,0.153991649,0.853119663,0.997148291,0.818258665,0.297429887,0.134106989,0.532985385,0.766252392,0.921728109,0.453710552,0.38155577,0.507367052,0.782185762,0.097149052,0.926779312,0.170511328,0.488312037,0.512660606,0,0.615946524
Wisconsin,0.753639733,0.318960982,0.05819774,0.981307009,0.364255458,0.523933696,0.166501274,0.071670255,0.253266203,0.920182501,0.326103122,0.557536864,0.509126066,0.580435614,0.964227121,0.168972156,0.478769041,0.296228937,0.070496106,0.68877274,0
