fakeSinglePredictor3,Arizona,California,Colorado,Connecticut,Florida,Georgia,Idaho,Illinois,Indiana,Louisiana,Mississippi,Nebraska,Nevada,New Mexico,New York,North Dakota,Ohio,South Dakota,Texas,Utah,Wisconsin
Arizona,0,0.197160804,0.65100473,0.049589975,0.045914411,0.831571854,0.937832522,0.567474113,0.011348569,0.751479916,0.789177304,0.228055951,0.342535273,0.397528635,0.341712867,0.530994084,0.911171116,0.820318406,0.286884637,0.387731397,0.277940303
California,0.244685619,0,0.990268234,0.506850445,0.325356863,0.36100498,0.27401529,0.879529722,0.175647052,0.911032153,0.789312464,0.593383451,0.73454949,0.586228596,0.889576838,0.549598336,0.8257648,0.895329959,0.679640249,0.18169929,0.845913804
Colorado,0.708457689,0.171417262,0,0.396277955,0.717719753,0.922398882,0.647213164,0.693346507,0.677832364,0.774550459,0.876672967,0.12008476,0.306445804,0.264964707,0.397498684,0.721885233,0.0603835,0.229925155,0.287860506,0.792957313,0.312536412
Connecticut,0.912925467,0.250186613,0.661960185,0,0.26126164,0.261626394,0.504849018,0.642377848,0.973643791,0.100301997,0.60205627,0.425905583,0.712881312,0.530588884,0.507624872,0.200749218,0.5014825,0.06775366,0.475037455,0.985587273,0.38330911
Florida,0.703878892,0.800494439,0.852588275,0.827097739,0,0.803868911,0.016997258,0.144359474,0.469732375,0.555210167,0.205895927,0.140474597,0.353941468,0.680118325,0.310236145,0.274071838,0.586534097,0.706279497,0.644946424,0.147057242,0.573882179
Georgia,0.062492993,0.49936515,0.596498609,0.705299013,0.633591972,0,0.03193487,0.918068172,0.724696976,0.168792143,0.119082241,0.750216989,0.57823883,0.067282148,0.245256476,0.320681787,0.41285758,0.775032848,0.164311309,0.433775351,0.463156611
Idaho,0.166626382,0.259207073,0.509339309,0.842134934,0.493063584,0.479100706,0,0.875057731,0.351490123,0.05073033,0.644964156,0.65575773,0.90236114,0.026094782,0.475370253,0.368860419,0.885998493,0.610785766,0.521032144,0.149785879,0.949149614
Illinois,0.170430551,0.465305184,0.325898452,0.099317479,0.732386638,0.864563251,0.957571172,0,0.524189359,0.78365383,0.142629643,0.124690384,0.389757446,0.340474805,0.432135613,0.747839092,0.728084288,0.244908771,0.65527271,0.947836671,0.748495584
Indiana,0.482849985,0.996333085,0.641023234,0.323714001,0.533927915,0.028105676,0.116207911,0.390914833,0,0.144340445,0.688950223,0.829601633,0.123242298,0.643562719,0.027815934,0.157643125,0.449793818,0.914187678,0.310022698,0.998084388,0.71993607
Louisiana,0.694249792,0.202669703,0.900909126,0.504374329,0.067858265,0.850291975,0.990383225,0.857454503,0.795089327,0,0.56613541,0.888229935,0.428198742,0.428868936,0.088322842,0.610557583,0.141188799,0.016154833,0.358320168,0.674839926,0.779643047
Mississippi,0.136904715,0.839893978,0.76710719,0.025958553,0.067264675,0.711884271,0.895540658,0.043362124,0.95084647,0.719631236,0,0.108994778,0.330788467,0.391679145,0.222066063,0.338051609,0.726546043,0.340676891,0.761614284,0.661010627,0.979916381
Nebraska,0.665216142,0.719334681,0.653972683,0.200104081,0.146315603,0.199268139,0.096028656,0.052893979,0.678111095,0.5468366,0.525745107,0,0.486208453,0.405116265,0.43067779,0.116665398,0.43353337,0.228786795,0.352633488,0.481839551,0.403719253
Nevada,0.615721982,0.721737464,0.958980404,0.253173197,0.785417908,0.454796883,0.227994118,0.249432103,0.33715886,0.222893055,0.325818944,0.636429197,0,0.791785742,0.522239548,0.666390631,0.93018884,0.973778236,0.15035502,0.948679326,0.443476018
New Mexico,0.028416777,0.152853435,0.997415612,0.135852505,0.958929835,0.597348576,0.33070835,0.304837046,0.363489856,0.952034719,0.644451165,0.71130483,0.581415378,0,0.269733648,0.052556789,0.303185426,0.335523388,0.667108057,0.241101442,0.060652232
New York,0.679166577,0.648433336,0.805619129,0.80177586,0.369465696,8.31E-05,0.100378086,0.565130599,0.540261302,0.481335139,0.135009632,0.448856,0.785698415,0.8728023,0,0.814902724,0.612662528,0.309136515,0.62831991,0.732830555,0.0553854
North Dakota,0.225257795,0.514916851,0.903480827,0.078824482,0.542762515,0.555013544,0.175946744,0.137904718,0.449716165,0.645432806,0.090535081,0.220029701,0.510751081,0.26263933,0.627771038,0,0.648173633,0.576586102,0.376695821,0.759040951,0.234626787
Ohio,0.341576574,0.02479544,0.520291689,0.899990744,0.357028281,0.386956323,0.748023514,0.033823045,0.543461795,0.775222889,0.1440523,0.878798641,0.397754879,0.468146206,0.047262403,0.28091793,0,0.180570588,0.351233032,0.427810434,0.763992241
South Dakota,0.715338936,0.990297166,0.237900947,0.837219275,0.570190245,0.03405487,0.154643435,0.710450925,0.071717564,0.479248002,0.194382963,0.327664213,0.017105931,0.201670638,0.795793103,0.888473643,0.567704553,0,0.279437561,0.735990553,0.092277282
Texas,0.588990398,0.787781646,0.470269928,0.77665259,0.994148337,0.524589017,0.854862542,0.988277768,0.22473153,0.041690286,0.050797366,0.225642413,0.17477935,0.340278824,0.636670119,0.719204974,0.93651716,0.243523353,0,0.365757107,0.668742089
Utah,0.655948013,0.169445984,0.558689476,0.929960103,0.25450392,0.148189995,0.123892451,0.898755954,0.244592877,0.271988558,0.324089162,0.118530325,0.673157895,0.031117876,0.058336684,0.561931521,0.867183165,0.024885014,0.775617879,0,0.513420187
Wisconsin,0.71206454,0.510711883,0.025571326,0.941965178,0.18970996,0.076482396,0.759411625,0.885495823,0.498074213,0.32191741,0.055370328,0.21518475,0.341540626,0.240806802,0.12900496,0.81463278,0.831244856,0.384061608,0.940196826,0.448352074,0
